YEAR,PHASE,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2006,R,gonzl004,7,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonzl004,9,17,16,5,7,2,0,0,0,3,0,0,2,1,0,0,1,0
2006,R,gonzl004,11,19,17,2,6,1,0,1,0,1,1,0,5,0,1,0,0,0
2006,R,gonzm001,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,gonzw001,2,37,34,8,8,0,0,0,0,2,2,0,4,0,0,0,1,0
2006,R,gonzw001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,gorzt001,1,21,19,0,0,0,0,0,0,1,1,0,11,0,0,1,0,0
2006,R,grabj002,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,graft001,3,51,46,14,21,4,0,1,0,10,4,0,8,0,0,1,0,0
2006,R,graft001,4,286,256,69,102,18,3,3,0,26,25,0,37,6,3,1,1,0
2006,R,graft001,5,103,92,29,44,9,0,2,0,12,8,1,12,3,1,2,0,0
2006,R,graft001,6,52,45,12,14,2,0,0,0,10,6,0,7,1,1,0,0,0
2006,R,graft001,10,14,13,1,4,0,0,1,0,1,1,0,3,0,0,0,0,0
2006,R,graft001,11,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2006,R,granc001,8,673,591,154,260,31,9,19,0,67,66,0,173,4,4,7,5,0
2006,R,granc001,11,6,5,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2006,R,greea001,4,12,10,2,2,0,0,0,0,0,1,0,2,0,0,1,0,0
2006,R,greea001,5,12,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,greea001,6,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,greea001,7,17,12,3,4,1,0,0,0,3,4,0,1,0,0,1,0,0
2006,R,greea001,10,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2006,R,greea001,11,56,47,11,17,3,0,1,0,3,8,0,15,0,0,1,0,0
2006,R,greek002,6,459,411,101,176,26,2,15,0,55,39,0,87,15,7,0,2,0
2006,R,greek002,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,green001,4,54,48,7,11,1,0,1,0,3,6,0,17,0,0,0,0,0
2006,R,green001,5,27,25,8,13,2,0,1,0,1,0,0,9,0,1,1,0,0
2006,R,green001,6,42,38,6,8,2,0,0,0,0,4,0,14,2,0,0,0,0
2006,R,green001,9,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2006,R,green001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,grees001,3,44,40,8,12,1,0,1,0,3,4,0,9,0,0,0,0,0
2006,R,grees001,9,533,482,136,210,29,3,13,0,61,40,5,71,15,9,0,2,0
2006,R,grees001,10,4,3,1,4,0,0,1,0,1,1,0,1,1,0,0,0,0
2006,R,grees001,11,7,5,2,3,1,0,0,0,1,0,0,1,1,1,0,1,0
2006,R,greet003,2,149,139,45,67,12,2,2,0,16,9,3,40,0,1,0,0,0
2006,R,greet003,3,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2006,R,greet003,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2006,R,greet003,11,16,15,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0
2006,R,gregk001,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
