YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abbok002,meadb001,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,medir001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,miced001,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abbok002,milla001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abbok002,morgm001,3,3,1,4,0,0,1,0,3,0,0,1,0,0,0,0,0
1999,abbok002,motag001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,mulht001,8,8,4,7,3,0,0,0,2,0,0,3,0,0,0,0,0
1999,abbok002,murrh001,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,olivd001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,olivo001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,olsog001,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,oquim001,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abbok002,ortir001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,parkc002,9,8,2,5,1,1,0,0,2,1,0,3,0,0,0,0,0
1999,abbok002,parrs001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,perec001,2,2,2,5,0,0,1,0,2,0,0,0,0,0,0,0,0
1999,abbok002,perey001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,petec001,6,6,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,petek001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,petkm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,powej002,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,pulsb001,6,6,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1999,abbok002,ramih001,1,1,1,4,0,0,1,0,3,0,0,0,0,0,0,0,0
1999,abbok002,reedr002,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,remlm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,reyec001,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abbok002,rodrf002,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,rodrr004,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,rogek001,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,roqur001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,ruetk001,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abbok002,sancj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,sands002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,saues001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,seanr001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,shawj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,silvj001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,smitd006,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,sprid001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,stris001,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
1999,abbok002,sulls001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abbok002,swing001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,tapak001,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,abbok002,tavaj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,taylb001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,telea001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,tomkb001,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,urbiu001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,valdi001,6,6,3,7,1,0,1,0,2,0,0,0,0,0,0,0,0
1999,abbok002,vazqj001,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,villr001,4,4,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
1999,abbok002,walld002,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,wallj001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,weatd001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,wendt001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,whitg001,2,2,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abbok002,wickb001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,wilkm001,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,willm005,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,willw001,6,5,2,5,0,0,1,0,2,1,0,1,0,0,0,0,0
1999,abbok002,woods001,5,5,3,5,2,0,0,0,1,0,0,0,0,0,0,0,0
1999,abbok002,worrt002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abbok002,yoshm001,3,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0
1999,abreb001,abboj001,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,acevj001,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1999,abreb001,adamt001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,aguir001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,alfoa001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,almaa001,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1999,abreb001,almoh001,2,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0
1999,abreb001,arnoj001,2,2,1,4,0,0,1,0,2,0,0,0,1,0,0,0,0
1999,abreb001,arror001,3,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0
1999,abreb001,ayalb002,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,aybam001,2,2,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
1999,abreb001,batim001,7,5,3,3,0,0,0,0,0,2,0,1,0,0,0,0,0
1999,abreb001,belis001,5,4,3,4,1,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,beltr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,benea001,7,5,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1999,abreb001,benia001,2,2,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0
1999,abreb001,bensk001,7,7,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abreb001,berej002,5,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,bohab001,7,7,4,5,1,0,0,0,2,0,0,2,0,0,0,0,0
