YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,berrd001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bevak001,3,10,10,6,7,1,0,0,0,2,0,0,2,0,0,0,0,0
1977,bevak001,4,14,12,5,10,2,0,1,0,3,2,1,0,0,0,0,0,0
1977,bevak001,5,25,24,8,13,2,0,1,0,9,1,0,4,2,0,0,0,0
1977,bevak001,7,16,13,2,4,0,1,0,0,2,2,0,2,0,0,0,1,0
1977,bevak001,9,19,19,5,14,0,0,3,0,5,0,0,2,2,0,0,0,0
1977,bevak001,10,5,4,1,1,0,0,0,0,2,0,0,1,0,0,0,1,0
1977,bevak001,11,15,14,5,9,2,1,0,0,5,1,0,2,2,0,0,0,0
1977,biitl101,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,biitl101,3,303,280,85,118,13,1,6,0,39,22,2,20,11,0,0,1,0
1977,biitl101,7,211,197,57,89,14,0,6,0,19,11,0,14,4,1,1,1,0
1977,biitl101,11,17,15,5,6,1,0,0,0,4,2,0,1,2,0,0,0,0
1977,billj101,1,63,56,9,10,1,0,0,0,3,1,0,17,2,0,6,0,0
1977,blact101,2,23,20,2,3,1,0,0,0,0,2,1,6,1,0,1,0,0
1977,blact101,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,blaip101,7,8,7,3,4,1,0,0,0,1,1,0,1,0,0,0,0,0
1977,blaip101,8,140,125,30,47,3,1,4,0,21,7,1,12,6,0,5,3,0
1977,blaip101,9,29,26,8,10,0,1,0,0,3,1,0,1,1,2,0,0,0
1977,blaip101,10,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,blaip101,11,3,3,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0
1977,blanl101,4,32,30,7,7,0,0,0,0,3,1,0,2,1,0,0,1,0
1977,blanl101,5,73,71,24,26,0,1,0,0,6,1,0,7,2,0,1,0,0
1977,blanl101,6,197,180,53,80,9,3,4,0,20,11,0,24,4,1,4,1,0
1977,blanl101,10,23,19,3,7,1,0,1,0,4,4,0,2,0,0,0,0,0
1977,blanl101,11,26,22,5,8,0,0,1,0,5,2,1,2,0,0,0,2,0
1977,bluev001,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bochb001,3,135,118,31,37,6,0,0,0,15,13,1,13,1,0,2,2,0
1977,bochb001,7,301,267,86,116,13,1,5,0,28,26,2,24,16,0,5,3,0
1977,bochb001,8,107,99,27,36,3,0,2,0,8,7,0,4,3,0,1,0,0
1977,bochb001,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bochb001,10,6,6,4,5,1,0,0,0,0,0,0,1,0,0,0,0,0
1977,bochb001,11,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,boisb101,3,16,16,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,boisb101,7,87,75,21,32,5,0,2,0,12,9,0,14,1,0,3,0,0
1977,boisb101,8,28,25,9,14,2,0,1,0,5,3,0,7,0,0,0,0,0
1977,boisb101,9,179,161,49,62,11,1,0,0,17,13,0,29,4,1,4,0,0
1977,boisb101,11,37,30,9,15,3,0,1,0,10,6,0,5,0,0,0,1,0
1977,bondb101,9,601,522,141,277,21,8,33,0,104,66,5,122,7,2,1,10,0
1977,bondb101,10,77,69,15,31,2,1,4,0,11,8,0,19,2,0,0,0,0
1977,bondb101,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bonhb101,1,77,65,15,18,3,0,0,0,3,1,0,14,1,0,11,0,0
1977,bonnb001,5,133,120,40,46,6,0,0,0,10,9,2,8,2,1,1,1,1
1977,bonnb001,7,8,8,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1977,bonnb001,8,242,215,62,70,5,0,1,1,32,25,6,22,4,0,2,0,0
1977,bonnb001,9,11,10,3,3,0,0,0,0,2,0,0,2,0,1,0,0,0
1977,bonnb001,11,10,7,1,1,0,0,0,0,0,3,0,0,1,0,0,0,0
1977,boonb001,2,484,430,122,185,25,4,10,0,63,42,5,51,8,2,3,7,0
1977,boonb001,3,4,4,1,4,0,0,1,0,1,0,0,1,0,0,0,0,0
1977,boonb001,5,6,5,2,3,1,0,0,0,2,0,0,1,0,0,0,1,0
1977,boonb001,11,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,borbp101,1,24,22,4,5,1,0,0,0,0,0,0,5,2,0,2,0,0
1977,borgg101,2,54,43,11,18,1,0,2,0,7,11,0,9,1,0,0,0,0
1977,boser101,7,41,38,9,9,0,0,0,0,1,3,0,7,0,0,0,0,0
1977,boser101,8,29,25,7,7,0,0,0,0,2,3,0,3,0,1,0,0,0
1977,boser101,9,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,boser101,11,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,boslt001,7,80,75,15,19,2,1,0,0,4,4,0,9,1,0,0,1,0
1977,boslt001,8,150,132,46,56,8,1,0,0,14,12,0,23,3,1,4,1,0
1977,boslt001,11,5,5,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
