YEAR,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,gravd001,menon,5,3,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
2002,gravd001,scoring,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,greer001,empty,122,114,30,39,4,1,1,0,1,8,0,14,0,0,0,0,0
2002,greer001,loaded,3,2,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0
2002,greer001,menon,97,85,29,36,5,1,0,0,16,11,0,3,5,0,0,1,0
2002,greer001,scoring,55,45,14,15,1,0,0,0,13,9,0,2,3,0,0,1,0
2002,grees001,empty,346,304,85,175,15,0,25,0,25,41,0,61,0,1,0,0,0
2002,grees001,loaded,9,8,5,7,2,0,0,0,12,0,0,2,0,0,0,1,0
2002,grees001,menon,339,278,81,150,16,1,17,0,89,52,22,51,26,4,0,5,0
2002,grees001,scoring,186,134,37,64,6,0,7,0,66,44,22,25,6,3,0,5,0
2002,greet003,empty,56,56,18,48,3,0,9,0,9,0,0,12,0,0,0,0,0
2002,greet003,loaded,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
2002,greet003,menon,62,56,12,17,2,0,1,0,10,2,0,11,4,1,1,2,0
2002,greet003,scoring,34,29,6,7,1,0,0,0,8,2,0,6,1,0,1,2,0
2002,grieb001,empty,291,270,68,125,18,0,13,0,13,19,0,61,0,2,0,0,0
2002,grieb001,loaded,14,10,5,5,0,0,0,0,12,3,0,3,1,0,0,1,0
2002,grieb001,menon,270,212,53,83,12,0,6,0,51,50,5,60,15,6,0,2,0
2002,grieb001,scoring,165,126,30,45,9,0,2,0,41,33,5,41,6,4,0,2,0
2002,grifk002,empty,130,118,32,56,6,0,6,0,6,10,0,25,0,2,0,0,0
2002,grifk002,loaded,4,2,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0
