YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,harpb003,L,L,202,183,44,76,6,4,6,0,23,15,0,51,3,1,2,1,0
2012,harpb003,L,R,395,350,100,178,20,5,16,0,36,41,0,69,5,1,1,2,0
2012,harrj002,R,L,94,86,17,30,3,2,2,0,8,3,0,12,1,1,3,1,0
2012,harrj002,R,R,182,163,41,56,6,3,1,0,8,7,0,25,2,6,4,2,0
2012,harrl002,L,R,46,43,7,7,0,0,0,0,0,1,0,21,1,0,2,0,0
2012,harrl002,R,L,17,16,2,2,0,0,0,0,1,0,0,11,0,0,1,0,0
2012,harrm001,L,L,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2012,harrm001,L,R,4,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
2012,harrw001,L,R,48,44,5,9,4,0,0,0,2,3,0,8,0,0,1,0,0
2012,hartc001,R,L,146,131,38,70,15,1,5,0,13,9,1,33,4,5,1,0,0
2012,hartc001,R,R,476,431,114,215,20,3,25,1,70,35,4,118,9,6,1,3,0
2012,harvm001,R,L,11,10,4,5,1,0,0,0,0,0,0,3,0,0,1,0,0
2012,harvm001,R,R,10,8,2,3,1,0,0,0,3,0,0,4,0,0,2,0,0
2012,hatcc002,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hayeb001,R,L,34,32,5,7,2,0,0,0,1,2,1,17,0,0,0,0,0
2012,hayeb001,R,R,84,82,18,22,4,0,0,0,2,2,2,32,1,0,0,0,0
2012,headc001,L,R,490,416,124,212,24,2,20,1,69,70,2,119,3,3,0,1,0
2012,headc001,R,L,206,185,49,89,7,0,11,1,46,16,0,38,4,1,0,4,0
2012,headc001,R,R,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hecha001,R,L,49,47,11,16,2,0,1,0,4,1,0,10,0,0,1,0,0
2012,hecha001,R,R,88,79,21,30,6,0,1,0,11,3,0,22,2,1,4,1,0
2012,hefnj001,R,L,8,6,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0
2012,hefnj001,R,R,18,14,2,5,0,0,1,0,1,0,0,8,0,0,4,0,0
2012,heisc001,R,L,89,84,23,43,4,2,4,0,12,4,0,15,1,1,0,0,0
2012,heisc001,R,R,286,263,69,96,12,3,3,0,19,14,0,66,7,6,3,0,0
2012,hellj001,R,R,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2012,heltt001,L,L,97,87,16,28,6,0,2,2,12,9,0,22,3,1,0,0,0
2012,heltt001,L,R,186,153,41,68,10,1,5,0,25,30,1,22,3,0,0,3,0
2012,hendl001,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hensc002,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hermj001,L,L,2,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,hermj001,L,R,25,22,5,7,0,1,0,0,2,3,1,7,0,0,0,0,0
2012,hernd002,R,R,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hernd003,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hernf002,R,R,3,3,1,2,1,0,0,0,2,0,0,1,0,0,0,0,0
2012,herng001,R,L,69,63,10,14,1,0,1,0,3,6,0,20,1,0,0,0,0
2012,herng001,R,R,104,93,20,33,1,3,2,0,10,7,0,22,1,3,1,0,0
2012,hernl003,R,L,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2012,hernl003,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hernl004,L,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hernr002,R,L,46,46,7,9,2,0,0,0,4,0,0,5,1,0,0,0,0
2012,hernr002,R,R,150,138,33,56,8,0,5,1,24,6,1,27,3,2,2,2,0
2012,herrc001,L,L,6,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2012,herrc001,L,R,13,12,1,1,0,0,0,0,0,1,0,4,0,0,0,0,0
2012,herre001,L,R,138,119,29,34,3,1,0,0,10,15,0,38,4,2,2,0,0
2012,herre001,R,L,76,68,18,28,7,0,1,0,7,8,0,12,1,0,0,0,0
2012,herrj002,L,R,191,171,47,60,8,1,1,0,6,13,2,32,4,2,4,0,1
2012,herrj002,R,L,58,52,12,19,1,0,2,0,6,3,1,6,1,0,3,0,0
2012,herrj002,R,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hestj001,R,L,42,37,8,11,0,0,1,0,1,5,0,10,0,0,0,0,0
2012,hestj001,R,R,53,48,10,17,1,0,2,0,3,3,0,15,1,1,1,0,0
2012,heywj001,L,L,257,237,53,84,10,0,7,0,28,19,0,71,1,0,0,1,0
2012,heywj001,L,R,394,350,105,197,20,6,20,0,54,39,1,81,3,2,0,2,1
2012,hickb002,R,L,49,44,7,18,2,0,3,0,3,5,0,21,1,0,0,0,0
2012,hickb002,R,R,21,20,4,7,3,0,0,0,4,1,0,10,0,0,0,0,0
2012,hilla001,R,L,215,188,51,91,16,0,8,0,27,24,2,27,3,1,1,1,0
2012,hilla001,R,R,453,421,133,227,28,6,18,0,58,28,5,59,12,3,0,1,0
2012,hillk002,L,R,19,19,4,4,0,0,0,0,0,0,0,3,0,0,0,0,0
2012,hillk002,R,L,20,20,3,4,1,0,0,0,1,0,0,4,0,0,0,0,0
2012,hills004,R,L,6,6,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0
2012,hills004,R,R,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hinsa001,L,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hinse001,L,L,18,17,2,4,2,0,0,0,1,1,0,9,1,0,0,0,0
2012,hinse001,L,R,129,115,24,37,5,1,2,0,12,13,2,32,4,0,0,1,0
2012,hochl001,R,L,5,5,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
