YEAR,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1998,branj001,menon,81,63,18,43,1,0,8,0,23,10,3,21,5,0,5,3,0
1998,branj001,scoring,51,37,9,24,0,0,5,0,17,9,3,13,3,0,2,3,0
1998,brewb001,empty,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1998,brewb001,loaded,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
1998,brewb001,menon,4,3,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0
1998,brewb001,scoring,2,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0
1998,brocc001,empty,63,60,17,28,4,2,1,0,1,3,0,13,0,0,0,0,0
1998,brocc001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,brocc001,menon,57,51,14,24,4,0,2,0,14,4,1,6,3,0,2,0,0
1998,brocc001,scoring,38,33,8,12,4,0,0,0,10,4,1,5,0,0,1,0,0
1998,brocd001,empty,139,134,24,36,4,1,2,0,2,4,0,36,0,1,0,0,0
1998,brocd001,loaded,11,10,2,2,0,0,0,0,6,0,0,1,0,0,0,1,0
1998,brocd001,menon,108,89,23,30,7,0,0,0,20,14,3,19,4,0,2,3,0
1998,brocd001,scoring,71,58,15,20,5,0,0,0,19,10,3,12,0,0,0,3,0
1998,browk001,empty,628,600,133,166,21,0,4,0,4,23,0,173,0,5,0,0,0
1998,browk001,loaded,16,16,3,3,0,0,0,0,6,0,0,6,2,0,0,0,0
1998,browk001,menon,404,357,92,115,11,0,4,0,65,26,4,84,18,5,13,3,0
1998,browk001,scoring,226,196,41,55,5,0,3,0,60,18,4,44,5,3,6,3,0
1998,browm005,empty,34,33,8,15,2,1,1,0,1,0,0,6,0,1,0,0,0
1998,browm005,loaded,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1998,browm005,menon,23,21,8,11,0,0,1,0,6,2,0,2,1,0,0,0,0
1998,browm005,scoring,17,15,5,5,0,0,0,0,4,2,0,1,1,0,0,0,0
1998,brows002,empty,39,34,7,10,1,1,0,0,0,5,0,4,0,0,0,0,0
1998,brows002,loaded,8,5,2,3,1,0,0,0,8,2,0,1,0,0,0,1,0
1998,brows002,menon,59,47,15,25,4,0,2,0,25,9,2,9,2,0,2,1,0
1998,brows002,scoring,41,31,13,23,4,0,2,0,25,8,2,7,1,0,1,1,0
1998,brunw001,empty,10,10,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0
1998,brunw001,menon,12,9,1,2,1,0,0,0,1,3,0,2,2,0,0,0,0
1998,brunw001,scoring,7,4,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0
1998,brusj001,empty,137,128,37,60,12,1,3,0,3,8,0,22,0,1,0,0,0
1998,brusj001,loaded,10,9,3,4,1,0,0,0,8,1,0,1,0,0,0,0,0
1998,brusj001,menon,128,110,29,42,7,0,2,0,32,16,3,16,5,2,0,0,0
1998,brusj001,scoring,87,74,19,28,6,0,1,0,30,11,3,12,3,2,0,0,0
1998,buddm001,empty,93,86,22,37,3,0,4,0,4,6,0,13,0,1,0,0,0
1998,buddm001,loaded,6,6,2,3,1,0,0,0,6,0,0,0,0,0,0,0,0
1998,buddm001,menon,87,75,24,34,7,0,1,0,26,7,1,7,5,2,1,1,1
1998,buddm001,scoring,57,48,19,26,7,0,0,0,24,6,1,5,1,2,0,1,0
1998,bullj001,empty,14,13,7,16,3,0,2,0,2,1,0,0,0,0,0,0,0
1998,bullj001,menon,19,17,6,11,2,0,1,0,7,1,0,4,0,0,0,1,0
1998,bullj001,scoring,12,11,4,6,2,0,0,0,5,0,0,2,0,0,0,1,0
1998,bullk001,empty,13,13,5,5,0,0,0,0,0,0,0,1,0,0,0,0,0
1998,bullk001,menon,22,22,9,14,2,0,1,0,8,0,0,1,0,0,0,0,0
1998,bullk001,scoring,18,18,5,7,2,0,0,0,6,0,0,1,0,0,0,0,0
1998,burbd001,empty,506,474,126,222,20,2,24,0,24,28,0,81,0,4,0,0,0
1998,burbd001,loaded,13,12,4,6,2,0,0,0,10,0,0,1,2,0,0,1,0
1998,burbd001,menon,364,307,84,122,18,1,6,0,69,41,4,51,22,3,3,10,0
1998,burbd001,scoring,214,174,40,53,7,0,2,0,57,27,4,36,6,3,0,10,0
1998,burkj001,empty,489,468,119,183,24,5,10,0,10,17,0,87,0,4,0,0,0
1998,burkj001,loaded,16,14,6,9,0,0,1,1,15,1,0,2,0,0,0,1,0
1998,burkj001,menon,365,320,111,163,21,2,9,1,94,29,1,44,17,4,7,5,0
1998,burkj001,scoring,224,187,66,101,12,1,7,1,86,23,1,23,6,4,5,5,0
1998,busbm001,empty,94,87,21,36,4,1,3,0,3,4,0,16,0,2,0,0,1
1998,busbm001,loaded,9,6,4,5,1,0,0,0,12,2,0,1,0,0,0,1,0
1998,busbm001,menon,108,89,24,31,7,0,0,0,26,11,0,17,2,3,3,2,0
1998,busbm001,scoring,67,54,18,25,7,0,0,0,26,8,0,12,1,2,1,2,0
1998,butla001,empty,11,8,3,4,1,0,0,0,0,2,0,2,0,1,0,0,0
1998,butla001,menon,17,10,2,5,0,0,1,0,4,4,1,5,0,0,2,1,0
1998,butla001,scoring,9,4,1,4,0,0,1,0,4,2,1,1,0,0,2,1,0
1998,byrdp001,empty,146,134,29,50,8,2,3,0,3,12,0,23,0,0,0,0,0
1998,byrdp001,loaded,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1998,byrdp001,menon,87,77,16,27,2,0,3,0,16,6,1,16,3,0,2,1,1
1998,byrdp001,scoring,56,50,8,15,1,0,2,0,14,5,1,10,2,0,0,1,0
1998,byrdt001,empty,4,4,3,6,0,0,1,0,1,0,0,1,0,0,0,0,0
1998,byrdt001,menon,5,5,2,3,1,0,0,0,2,0,0,0,1,0,0,0,0
1998,byrdt001,scoring,3,3,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
1998,cabrj001,empty,9,9,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
1998,cabrj001,loaded,1,1,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0
1998,cabrj001,menon,10,9,5,8,3,0,0,0,6,1,1,0,1,0,0,0,0
1998,cabrj001,scoring,7,6,4,6,2,0,0,0,5,1,1,0,1,0,0,0,0
1998,cadag001,empty,93,84,26,40,5,0,3,0,3,9,0,14,0,0,0,0,0
1998,cadag001,loaded,8,6,0,0,0,0,0,0,2,1,0,3,0,1,0,0,0
1998,cadag001,menon,110,95,23,37,2,0,4,0,24,9,0,28,3,3,2,1,0
1998,cadag001,scoring,60,49,11,18,1,0,2,0,19,7,0,16,2,2,1,1,0
1998,candt001,empty,503,465,130,214,23,5,17,0,17,31,0,53,0,7,0,0,0
1998,candt001,loaded,20,16,2,2,0,0,0,0,7,1,0,3,0,0,0,3,0
1998,candt001,menon,375,326,92,150,19,0,13,0,94,32,2,45,18,2,7,8,0
1998,candt001,scoring,227,190,50,84,10,0,8,0,81,23,2,29,2,2,4,8,0
1998,carld001,empty,32,28,11,16,2,0,1,0,1,4,0,7,0,0,0,0,0
1998,carld001,loaded,7,7,2,2,0,0,0,0,3,0,0,2,1,0,0,0,0
