YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,R,bittj001,R,L,17,15,4,10,0,0,2,0,5,2,0,5,0,0,0,0,0
1989,R,bittj001,R,R,24,20,5,5,0,0,0,0,1,4,0,2,3,0,0,0,0
1989,R,blacb001,L,L,131,120,19,28,3,0,2,0,6,9,0,10,4,0,1,1,0
1989,R,blacb001,L,R,781,724,194,278,34,7,12,0,69,43,0,78,15,1,8,4,1
1989,R,blank001,R,L,8,8,2,3,1,0,0,0,0,0,0,2,0,0,0,0,0
1989,R,blank001,R,R,14,12,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0
1989,R,bloct001,L,L,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,R,bloct001,L,R,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1989,R,blylb001,R,L,519,485,122,154,18,1,4,0,31,24,2,73,11,4,2,4,0
1989,R,blylb001,R,R,454,422,103,151,12,3,10,0,38,20,0,58,14,4,5,3,0
1989,R,bockr001,R,L,9,8,4,7,1,1,0,0,2,1,1,0,1,0,0,0,0
1989,R,bockr001,R,R,14,13,3,3,0,0,0,0,2,1,0,2,1,0,0,0,0
1989,R,boddm001,R,L,495,444,124,187,21,3,12,0,54,37,4,58,9,3,3,8,0
1989,R,boddm001,R,R,417,369,93,138,22,1,7,0,29,34,0,87,10,7,5,2,0
1989,R,boevj001,R,L,203,179,45,55,3,2,1,0,16,22,3,36,2,0,2,0,0
1989,R,boevj001,R,R,146,130,33,55,7,0,5,0,22,12,2,32,4,1,3,0,0
1989,R,boltt001,L,L,11,10,4,5,1,0,0,0,4,1,0,0,0,0,0,0,0
1989,R,boltt001,L,R,72,62,17,22,2,0,1,0,13,9,1,9,1,0,0,1,0
1989,R,bookg001,R,L,55,49,14,23,3,0,2,0,8,6,1,3,1,0,0,0,0
1989,R,bookg001,R,R,62,54,12,15,0,0,1,0,5,6,0,8,3,0,2,0,0
1989,R,bosic001,R,L,491,458,113,149,12,0,8,0,39,28,1,73,9,3,1,1,0
1989,R,bosic001,R,R,478,447,112,155,13,3,8,0,37,20,0,100,5,3,4,4,0
1989,R,boydo001,R,L,130,119,28,38,1,0,3,0,11,11,0,14,1,0,0,0,0
1989,R,boydo001,R,R,116,106,29,53,9,0,5,0,18,8,0,12,2,0,0,2,0
1989,R,branj001,R,L,219,193,58,81,11,0,4,1,19,20,6,26,5,0,4,2,0
1989,R,branj001,R,R,203,180,43,66,3,1,6,0,27,17,2,43,5,2,3,1,0
1989,R,browk001,R,L,389,351,79,102,8,0,5,0,26,35,1,44,12,0,1,2,0
1989,R,browk001,R,R,409,364,88,121,16,1,5,1,41,35,1,60,10,4,2,4,0
1989,R,browt001,L,L,148,132,35,56,3,0,6,0,19,13,0,24,1,0,1,2,0
1989,R,browt001,L,R,883,814,206,330,43,3,25,0,76,51,10,94,17,3,11,4,0
1989,R,buchb001,L,L,8,8,3,5,2,0,0,0,3,0,0,2,0,0,0,0,0
1989,R,buchb001,L,R,10,7,2,5,0,0,1,0,1,3,2,1,0,0,0,0,0
1989,R,buicd001,R,L,28,19,7,13,0,0,2,0,6,9,1,2,1,0,0,0,0
