YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,bauer001,empty,122,110,23,35,3,0,3,0,3,11,0,20,0,1,0,0,0
2004,R,bauer001,loaded,6,6,4,5,1,0,0,0,8,0,0,1,0,0,0,0,0
2004,R,bauer001,menon,108,96,26,35,6,0,1,0,26,9,0,17,5,3,0,0,0
2004,R,bauer001,scoring,61,55,18,26,5,0,1,0,26,3,0,8,2,3,0,0,0
2004,R,bautd002,empty,74,68,20,28,5,0,1,0,1,4,0,10,0,2,0,0,0
2004,R,bautd002,loaded,3,2,1,1,0,0,0,0,3,0,0,1,0,0,0,1,0
2004,R,bautd002,menon,68,57,24,36,6,0,2,0,24,9,1,9,3,1,0,1,0
2004,R,bautd002,scoring,44,39,21,32,5,0,2,0,24,4,1,4,2,0,0,1,0
2004,R,beckj002,empty,364,335,79,128,17,1,10,0,10,25,0,84,0,4,0,0,0
2004,R,beckj002,loaded,5,5,1,2,1,0,0,0,3,0,0,0,1,0,0,0,0
2004,R,beckj002,menon,290,247,58,99,15,4,6,0,57,29,3,68,15,2,9,3,0
2004,R,beckj002,scoring,169,142,34,57,7,2,4,0,47,20,3,45,4,1,3,3,0
2004,R,beckr001,empty,58,54,18,40,2,1,6,0,6,4,0,8,0,0,0,0,0
2004,R,beckr001,loaded,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2004,R,beckr001,menon,50,43,9,19,2,1,2,0,11,5,0,7,1,0,0,2,0
2004,R,beckr001,scoring,31,25,4,7,0,0,1,0,7,4,0,2,1,0,0,2,0
2004,R,bedae001,empty,322,279,70,101,15,2,4,0,4,40,0,64,0,3,0,0,0
2004,R,bedae001,loaded,12,8,0,0,0,0,0,0,5,1,0,0,0,0,0,3,0
2004,R,bedae001,menon,311,272,79,125,17,1,9,0,70,31,1,57,6,4,0,4,0
2004,R,bedae001,scoring,181,154,34,59,7,0,6,0,57,19,1,36,1,4,0,4,0
2004,R,beimj001,empty,4,4,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,beimj001,loaded,1,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2004,R,beimj001,menon,11,9,6,11,2,0,1,0,8,2,0,1,0,0,0,0,0
2004,R,beimj001,scoring,7,6,5,9,1,0,1,0,7,1,0,1,0,0,0,0,0
2004,R,bellh001,empty,56,54,16,28,3,0,3,0,3,2,0,16,0,0,0,0,0
2004,R,bellh001,loaded,7,6,0,0,0,0,0,0,2,1,0,2,0,0,0,0,0
2004,R,bellh001,menon,38,33,6,12,0,0,2,0,9,4,0,11,2,0,1,0,0
2004,R,bellh001,scoring,23,19,4,7,0,0,1,0,7,4,0,7,1,0,0,0,0
2004,R,bellr003,empty,299,277,68,113,14,2,9,0,9,20,0,27,0,2,0,0,0
2004,R,bellr003,loaded,2,2,1,4,0,0,1,1,4,0,0,1,0,0,0,0,0
2004,R,bellr003,menon,230,202,53,88,14,0,7,1,53,21,0,30,11,3,2,2,0
2004,R,bellr003,scoring,135,119,34,59,10,0,5,1,47,10,0,19,6,2,2,2,0
2004,R,beltf001,empty,120,103,28,59,7,0,8,0,8,17,0,27,0,0,0,0,0
2004,R,beltf001,loaded,5,4,2,3,1,0,0,0,5,1,0,0,0,0,0,0,0
2004,R,beltf001,menon,101,83,19,32,4,0,3,0,22,10,1,21,3,2,4,2,0
2004,R,beltf001,scoring,60,46,11,19,2,0,2,0,19,8,1,12,0,2,2,2,0
2004,R,beltr001,empty,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,beltr001,menon,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,beltr001,scoring,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,benia001,empty,167,156,24,41,5,0,4,0,4,11,0,42,0,0,0,0,0
2004,R,benia001,loaded,7,6,1,1,0,0,0,0,2,0,0,2,0,0,0,1,0
2004,R,benia001,menon,95,81,12,20,2,0,2,0,15,10,4,20,3,0,3,1,0
2004,R,benia001,scoring,64,55,9,17,2,0,2,0,15,8,4,13,0,0,0,1,0
2004,R,bennj002,empty,160,144,43,90,10,5,9,0,9,15,0,24,0,1,0,0,0
2004,R,bennj002,loaded,13,11,5,7,2,0,0,0,12,1,0,3,0,0,0,1,0
2004,R,bennj002,menon,156,137,35,49,5,0,3,0,38,11,2,21,9,1,2,5,0
2004,R,bennj002,scoring,104,91,23,31,5,0,1,0,34,6,2,16,4,1,1,5,0
2004,R,benoj001,empty,244,225,69,122,14,3,11,0,11,15,0,53,0,4,0,0,0
2004,R,benoj001,loaded,16,10,2,4,0,1,0,0,10,3,0,6,1,1,0,2,0
2004,R,benoj001,menon,212,180,44,76,4,2,8,0,52,16,0,42,6,4,2,10,0
2004,R,benoj001,scoring,120,98,21,38,1,2,4,0,43,9,0,26,2,2,1,10,0
2004,R,bensk001,empty,472,440,104,161,22,4,9,0,9,25,0,83,0,7,0,0,0
2004,R,bensk001,loaded,18,17,6,11,2,0,1,1,13,1,0,2,1,0,0,0,0
2004,R,bensk001,menon,382,329,98,143,23,2,6,1,81,36,8,51,16,3,8,6,0
2004,R,bensk001,scoring,232,193,55,79,7,1,5,1,69,28,8,30,5,3,2,6,0
2004,R,bentc001,empty,70,58,13,25,3,0,3,0,3,11,0,10,0,1,0,0,0
2004,R,bentc001,loaded,4,3,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0
2004,R,bentc001,menon,56,43,10,16,0,0,2,0,12,12,3,8,4,1,0,0,0
2004,R,bentc001,scoring,31,24,6,6,0,0,0,0,8,6,3,3,1,1,0,0,0
2004,R,bergd003,empty,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2004,R,bergd003,loaded,1,1,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0
2004,R,bergd003,menon,10,8,3,4,1,0,0,0,5,1,0,1,0,0,0,1,0
