YEAR,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,davij005,R,L,41,39,9,16,4,0,1,0,3,2,0,9,1,0,0,0,0
2002,davij005,R,R,19,16,3,3,0,0,0,0,0,2,0,2,0,0,1,0,0
2002,davik001,R,L,30,23,8,17,3,0,2,0,10,6,2,7,0,0,0,1,0
2002,davik001,R,R,40,32,7,9,2,0,0,0,3,5,0,17,0,1,2,0,0
2002,dawlj001,R,L,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,day-z001,R,L,68,57,9,14,3,1,0,0,4,9,2,7,2,1,1,0,0
2002,day-z001,R,R,85,78,19,33,5,0,3,0,12,6,0,18,2,0,0,1,0
2002,dejem001,R,L,166,143,37,50,5,1,2,0,14,21,7,39,2,0,1,1,0
2002,dejem001,R,R,160,136,29,51,5,1,5,0,14,18,1,26,4,2,3,1,0
2002,delol002,R,L,34,29,12,24,3,0,3,0,8,3,0,3,1,0,0,2,0
2002,delol002,R,R,37,33,12,21,3,0,2,0,8,1,0,4,1,3,0,0,0
2002,delov001,L,L,77,64,14,18,1,0,1,0,10,8,0,14,0,2,1,2,0
2002,delov001,L,R,160,135,28,48,11,0,3,0,12,18,3,24,4,0,2,5,0
2002,dempr002,R,L,436,358,119,197,24,6,14,2,56,68,1,57,7,5,4,1,0
2002,dempr002,R,R,479,439,109,179,18,5,14,1,59,25,1,96,16,5,5,5,0
2002,depas001,R,L,16,16,9,18,0,0,3,1,8,0,0,4,0,0,0,0,0
2002,depas001,R,R,17,14,2,3,1,0,0,0,1,3,0,4,0,0,0,0,0
2002,desse001,R,L,345,315,77,114,14,1,7,0,30,19,4,40,6,7,4,0,0
2002,desse001,R,R,392,358,96,166,19,0,17,0,38,30,4,53,13,0,3,1,0
2002,dewim001,R,L,13,10,3,6,0,0,1,0,3,2,0,0,0,0,0,1,0
2002,dewim001,R,R,17,16,3,3,0,0,0,0,1,1,0,5,0,0,0,0,0
2002,diggb001,R,L,51,38,12,19,1,0,2,0,9,11,0,4,2,0,0,2,0
2002,diggb001,R,R,67,56,16,26,4,0,2,0,8,7,1,11,0,1,3,0,0
2002,donnb001,R,L,76,66,16,25,3,0,2,0,10,7,1,9,0,1,1,1,0
2002,donnb001,R,R,123,108,16,18,2,0,0,0,5,12,2,45,1,1,2,0,0
2002,doteo001,R,L,179,153,29,42,7,0,2,0,10,20,2,48,1,3,1,2,0
2002,doteo001,R,R,197,182,29,50,4,1,5,0,18,7,0,70,3,1,2,5,0
2002,dougs001,R,L,125,104,28,57,5,0,8,0,22,20,2,28,6,1,0,0,0
2002,dougs001,R,R,120,101,30,44,6,1,2,0,13,15,0,16,2,1,2,1,0
2002,dresr001,R,L,357,309,103,162,24,7,7,0,53,39,1,55,7,4,1,4,0
2002,dresr001,R,R,278,246,73,112,13,1,8,0,35,23,0,47,2,2,2,5,0
2002,drewt001,R,L,23,22,6,7,1,0,0,0,2,1,0,4,0,0,0,0,0
2002,drewt001,R,R,41,38,6,9,0,0,1,0,2,1,0,6,1,0,1,1,0
2002,drist001,R,L,316,280,81,130,16,0,11,0,32,27,1,33,6,6,1,2,0
2002,drist001,R,R,273,249,69,117,14,2,10,0,32,21,0,45,3,2,1,0,0
2002,duboe001,L,L,7,6,2,6,1,0,1,0,1,0,0,2,0,1,0,0,0
2002,duboe001,L,R,18,17,5,6,1,0,0,0,1,1,0,2,2,0,0,0,0
2002,duckb001,R,L,339,298,74,126,22,0,10,0,38,36,2,80,0,3,1,1,0
2002,duckb001,R,R,386,341,93,170,21,4,16,0,57,33,3,87,4,4,6,2,0
2002,duffm001,R,L,10,5,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0
2002,duffm001,R,R,18,15,3,3,0,0,0,0,1,3,1,4,0,0,0,0,0
2002,duncc001,R,L,3,3,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
2002,duncc001,R,R,7,6,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0
2002,durbc001,R,L,19,16,4,5,1,0,0,0,1,2,0,2,0,1,0,0,0
2002,durbc001,R,R,24,22,9,20,2,0,3,0,9,2,0,3,0,0,0,0,0
2002,duroj001,R,L,91,75,14,22,3,1,1,0,2,15,2,25,1,0,0,1,0
2002,duroj001,R,R,98,90,13,24,3,1,2,1,12,6,0,19,4,2,0,0,0
2002,eatoa001,R,L,66,51,17,34,3,1,4,0,11,12,0,9,2,1,1,1,0
2002,eatoa001,R,R,76,68,11,20,4,1,1,0,7,5,0,16,1,1,1,1,0
2002,eckee001,L,L,16,15,6,7,1,0,0,0,4,1,0,5,0,0,0,0,0
2002,eckee001,L,R,23,22,8,16,3,1,1,0,5,1,0,8,0,0,0,0,0
2002,eiscj001,L,L,90,81,14,20,3,0,1,0,8,6,0,27,1,2,1,0,0
2002,eiscj001,L,R,127,111,29,34,5,0,0,0,12,12,5,24,4,0,2,2,0
2002,elded001,R,L,44,37,9,13,2,1,0,0,5,6,2,8,1,0,0,1,0
2002,elded001,R,R,56,45,9,17,3,1,1,0,5,8,1,15,2,1,1,1,0
2002,ellir001,R,L,3,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,ellir001,R,R,10,10,5,10,0,1,1,0,2,0,0,0,1,0,0,0,0
2002,embra001,L,L,106,96,15,28,2,1,3,0,14,8,0,44,2,0,0,2,0
2002,embra001,L,R,145,131,32,48,5,1,3,0,13,12,3,37,1,1,1,0,0
2002,ennij001,R,L,9,8,3,5,2,0,0,0,0,1,0,1,1,0,0,0,0
